s.no,motherBoard,MRP
242,ASRock Z590 Phantom Gaming4 Motherboard,"₹14,729"
243,ASRock Z590 Taichi Motherboard,"₹44,129"
244,MSI X299 PRO Motherboard,"₹31,999"
245,MSI MAG Z590 TORPEDO Motherboard,"₹24,599"
246,MSI MPG Z590 GAMING PLUS Motherboard,"₹25,699"
247,ZEBRONICS ZEB-H61M2-4GB-i5-FAN-P Motherboard,"₹4,199"
248,MSI MPG Z690 FORCE WIFI ATX Motherboard,"₹43,201"
249,ZEBRONICS H110 Motherboard with M.2 Nvme Slot Motherboard,"₹5,369"
250,Frontech 0471 Motherboard,"₹2,705"
251,ZEBRONICS ZEB-H55-D3 Motherboard,"₹2,375"
252,GIGABYTE Z690 UD AX Motherboard,"₹31,999"
253,MSI MEG B550 UNIFY-X Motherboard,"₹30,499"
254,ZEBRONICS H61-i3-4gb Pfan Motherboard,"₹3,399"
255,Shining sun Vision Pi Zero 2 W A-Tiny Computer Motherboard,"₹2,499"
256,LAPCARE LKMBMB8006 Motherboard,"₹6,499"
257,ASUS PRIME H670-PLUS D4 Motherboard,"₹17,999"
258,MSI MAG Z690 TOMAHAWK WIFI Motherboard,"₹32,999"
259,MSI Z590 A PRO Motherboard,"₹16,586"
260,LAPCARE h81 1150 Motherboard,"₹3,199"
261,GEONIX H61 Motherboard,"₹1,748"
262,ZEBRONICS ZEB-H81M2 Motherboard,"₹2,799"
263,ZEBRONICS ZEB-H81 Motherboard,"₹2,849"
264,ASUS TUF GAMING X670E PLUS WIFI Motherboard,"₹39,750"
265,powerx PMB-H61 Motherboard,"₹3,800"
266,ASUS TUF GAMING B650-PLUS Motherboard,"₹24,990"
267,GIGABYTE ?Z690 AORUS ULTRA Motherboard,"₹41,599"
268,GIGABYTE B760M DS3H DDR4 Motherboard,"₹14,999"
269,GIGABYTE ?Z690 Motherboard,"₹39,999"
270,Thunderz 1155 Motherboard,"₹3,499"
271,GIGABYTE Z690UD Motherboard,"₹24,999"
272,GIGABYTE ?B760M AORUS ELITE AX Motherboard,"₹23,999"
273,RashMove FMB-G41 SOcket 775 Motherboard,"₹4,400"
274,GIGABYTE B760M AORUS PRO DDR4 Motherboard,"₹19,999"
275,Enter ENTERH61 Motherboard,"₹2,560"
276,GIGABYTE B560 Motherboard,"₹24,999"
277,ASUS Prime A520M-E Motherboard,"₹6,999"
278,ZEBRONICS H81+128 GB SATA SSD + 4GB starlite DDR3 RAM with core i3 4th en CPUCombo set Motherboard,"₹6,999"
279,ZEBRONICS H61M2+ Starlite 256GB NVME SSD & 8GB RAM with Intel Core i3 Processor comboset Motherboard,"₹6,999"
280,GIGABYTE B450 Motherboard,"₹9,999"
281,LAPCARE MXG41 Motherboard,"₹2,349"
282,ZEBRONICS H55-COMBO-KIT-2GB Motherboard,"₹5,787"
283,ZEBRONICS H81M2+240GB WD SSD + 4GB starlite DDR3 RAM with CORE i3 4Th GEN CPU Combo set Motherboard,"₹8,400"
284,ZEBRONICS G31-D2-775 Motherboard,"₹2,999"
285,TNC COMPUTER FT-0470 Motherboard,"₹2,180"
286,Frontech FT G41 FT-0456 Motherboard,"₹2,450"
287,ZEBRONICS G41 D3 Motherboard,"₹2,999"
288,ZEBRONICS G41-D3-COMBO-KIT Motherboard Free mouse & wifi any brand Motherboard,"₹5,549"
