s.no,GPU,MRP
126,GIGABYTE AMD Radeon GV-R66EAGLE-8GD 8 GB GDDR6 Graphics Card,"₹41,499"
127,ZOTAC NVIDIA RTX 3080 Ti AMP Holo 12 GB GDDR6X Graphics Card,"₹1,56,999"
128,mytechvision NVIDIA GTX 1050 4 GB GDDR5 Graphics Card,"₹11,999"
129,LipiWorld NVIDIA Pack Of 2 VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X 16 GB GDDR4 Graphics Card,"₹1,129"
130,Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 10 GB GDDR6X Graphics Card,"₹94,849"
131,HASTHIP Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
132,"Tobo NVIDIA VER009S PCIE Riser Express Cable 1X to 16X (Dual-6pin / MOLEX) with Led Graphics Extension Ethereum ETH Mining Powered PCI-E Riser Adapter Card, with 24inches USB 3.0 Cable (VER009S) 2 GB DDR2 Graphics Card",₹499
133,LipiWorld NVIDIA (Pack Of 2) VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser Card 16 GB GDDR4 Graphics Card,"₹1,199"
134,ZOTAC NVIDIA RTX 3070 Ti Trinity 8 GB GDDR6X Graphics Card,"₹59,800"
135,GALAX NVIDIA GEFORCE GT 710 2GB 2 GB GDDR3 Graphics Card,"₹4,350"
136,Selito AMD Radeon AMD RADEON 8 GB DDR5 Graphics Card,"₹10,799"
137,Tobo NVIDIA ER010S Plus USB 3.0 PCI-E Riser VER 010S Plus Express 1X to 16X Extender Pcie Riser Adapter Card SATA 6 LED Light 1 GB DDR2 Graphics Card,₹699
138,ZEBRONICS NVIDIA ZEB GT730 4 GB GDDR3 Graphics Card,"₹4,375"
139,microware NVIDIA PCI-E Extender Riser Card USB 3.0 1x to 16x Adapter for BTC Miner 16 GB GDDR4 Graphics Card,₹599
140,Nextar NVIDIA GPU Expansion Card Usb 3.0 PCI-E 1X to 16X Extender Riser Ver 009s Card 16 GB GDDR4 Graphics Card,₹499
141,GIGABYTE NVIDIA GeForce RTX™ 3060 VISION OC 12G 12 GB GDDR6 Graphics Card,"₹88,600"
142,ASUS NVIDIA GeForce Dual GTX 1650 4GB DDR6 GRAPHIC CARD 4 GB GDDR6 Graphics Card,"₹15,999"
143,ZOTAC NVIDIA GeForce GT 730 Zone Edition 4 GB DDR3 Graphics Card,"₹7,950"
144,Selito NVIDIA GTX 1060 3 GB GDDR5 Graphics Card,"₹12,999"
145,Etzin NVIDIA NVIDIA M.2 to PCI-E X16 Slot Adapter Card(EPL-409HS) 1 GB DDR2 Graphics Card,₹443
146,Etzin NVIDIA NVIDIA PCIe x1 to 4 USB Hub PCI-Expres(EPL-750PC) 1 GB DDR2 Graphics Card,"₹2,999"
147,srigs NVIDIA gt730ddr3 4 GB DDR3 Graphics Card,"₹3,999"
148,Xsentuals NVIDIA STC PCIe Riser Adapter VER 008S PCI-E 16x to 1x 60 cm USB 3.0 Extension Cable and 4 Pin 6 PinB-SATA Power -Ethereum Mining ETH 16 GB GDDR4 Graphics Card,₹479
149,ASUS NVIDIA DUAL-RTX3060-O12G 12 GB GDDR6 Graphics Card,"₹85,000"
150,GIGABYTE NVIDIA GeForce RTX™ 2060 D6 6G 6 GB GDDR6 Graphics Card,"₹54,500"
151,"Verilux NVIDIA Cable GPU Riser Adapter-Mining Bitcoin, Ethereum ETH Zcash ZEC Monero 1 GB DDR2 Graphics Card","₹1,307"
152,Nextron NVIDIA GT610 2 GB DDR3 Graphics Card,"₹2,999"
153,ZEB NVIDIA -GT610-1GD3 1 GB DDR3 Graphics Card,"₹2,550"
154,"Verilux NVIDIA Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 256 MB GDDR5 Graphics Card",₹619
155,ZEB NVIDIA GT610-2GD3 2 GB DDR3 Graphics Card,"₹2,950"
156,ZOTAC NVIDIA GAMING GeForce RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹24,674"
157,ZOTAC NVIDIA GEFORCE RTX 4060 OC SPIDER-MANTM: ACROSS THE SPIDER-VERSE BUNDLE 8 GB GDDR6 Graphics Card,"₹32,283"
158,Verilux Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control 1 GB DDR3 Graphics Card,₹664
159,Selito AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
160,ZOTAC NVIDIA GeForce GT 730 4GB Zone Edition 4 GB DDR3 Graphics Card,"₹7,537"
161,ZOTAC NVIDIA GeForce RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,022"
162,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹4,013"
163,Anwara NVIDIA POKEMON GOLD 16 GB GDDR4 Graphics Card,₹899
164,srigs NVIDIA zeb-gt-4gd3 4 GB DDR3 Graphics Card,"₹3,819"
165,"amd AMD Radeon Sapphire PULSE Radeon™ RX 6800 XT Graphic Card with 16 GB GDDR6, RDNA™ 2 16 GB GDDR6 Graphics Card","₹1,15,999"
166,Jack and Rex NVIDIA NGFF M.2 M key to USB 3.0 Adapter Card Extender M2 to USB3.0 Adapter Converter for PCI-E Riser Card Graphics GPU Mining Miner Package ships in Anti-electrostatic bags to prevent damage. 1 GB DDR2 Graphics Card,₹389
167,MSI AMD Radeon Radeon RX 6800 GAMING X TRIO 16G 16 GB GDDR6 Graphics Card,"₹92,390"
168,MSI AMD Radeon RX 6700 XT 12 GB GDDR6 Graphics Card,"₹76,999"
169,"Zorbes Intel VER009S-Gold PCIE Riser, PCIE Cable 6 Pin 1X to 16X Powered Pcie Riser Adapter 1 GB DDR3 Graphics Card",₹889
170,ZOTAC NVIDIA ZT-T20600H-10M 6 GB GDDR6 Graphics Card,"₹34,999"
171,MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OC 8 GB GDDR6 Graphics Card,"₹41,706"
172,MSI AMD Radeon Radeon RX 6700 XT MECH 2X 12G OC 12 GB GDDR6 Graphics Card,"₹76,999"
173,REO AMD/ATI AMDR5340 2 GB DDR3 Graphics Card,"₹4,200"
174,"amd AMD Radeon Sapphire NITRO+ Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 2 16 GB GDDR6 Graphics Card","₹1,12,999"
175,Etzin NVIDIA NVIDIA PCI-E 1X to SATA pcie to sata10 port Card(EPL-751PC) 1 GB DDR2 Graphics Card,"₹7,999"
176,MSI NVIDIA GeForce RTX 3090 GAMING X TRIO 24G 24 GB GDDR6 Graphics Card,"₹1,79,999"
177,MSI AMD Radeon Radeon RX 6600 ARMOR 8G 8 GB GDDR6 Graphics Card,"₹44,509"
178,amd AMD Radeon Sapphire Nitro 16 GB GDDR6 Graphics Card,"₹1,07,799"
179,GIGABYTE AMD Radeon GV-R66XTEAGLE-8GD 8 GB GDDR6 Graphics Card,"₹46,999"
180,Tobo AMD/ATI Riser Card VER0010S Plus Ultra Latest / 8 Capacitor / GPU Riser / PCIE Riser Express Cable 16x to 1x Power PCIe Riser Adapter 80cm USB 3.0 Cable (VER 010S-Pack-2) 1 GB DDR2 Graphics Card,"₹1,754"
181,LipiWorld NVIDIA Pack Of 6 VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X 16 GB GDDR4 Graphics Card,"₹2,999"
182,Verilux Intel 2 Pack Pi+ VER009S Gold PCI-E 6Pin 1X to 16X Powered Pcie Riser Adapter Card 256 MB DDR2 Graphics Card,"₹1,461"
183,Verilux NVIDIA PCI-E Extender Cable PCIe 16x to 16x Flexible GPU Riser Adapter Card Extender Cable 256 MB GDDR3 Graphics Card,₹769
184,LipiWorld NVIDIA (Pack Of 6) VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser Card 16 GB GDDR4 Graphics Card,"₹3,299"
185,Etzin NVIDIA NVIDIA 6 Port SATA 3 PCI Express Expansion Card(EPL-752PC) 1 GB DDR2 Graphics Card,"₹4,999"
186,Verilux AMD/ATI PC PWM Fan Hub CPU Cooling HUB 10 Port 12V 4 Pin Fan PWM Splitter Splitter 256 MB GDDR5 Graphics Card,₹664
187,"Nextar NVIDIA VER 009S Riser Cable Black PCIE Riser 1X to 16X Graphics Extension for GPU Mining Powered Riser Adapter Card, 60cm USB 3.0 Cable, 4 Solid Capacitors, Two 6PIN & Molex 3 Power Options(Pack 0f 5) 16 GB GDDR4 Graphics Card","₹3,249"
188,"Nextar NVIDIA VER 009S Riser Cable Black PCIE Riser 1X to 16X Graphics Extension for GPU Mining Powered Riser Adapter Card, 60cm USB 3.0 Cable, 4 Solid Capacitors, Two 6PIN & Molex 3 Power Options(Pack 0f 2) 16 GB GDDR4 Graphics Card","₹1,545"
189,LipiWorld NVIDIA Pcie Splitter 1 to 4 PCI Riser Card PCIe 1 to 4 Port 4 Risers into 1 PCI Card 16 GB GDDR4 Graphics Card,"₹1,879"
190,Electronicspices AMD Radeon Zotac NTK FD5010U12S DC 12V 0.22AMP graphics fan 1 GB DDR5 Graphics Card,₹486
191,"Tobo NVIDIA M.2 to 2.5 inch SATA Enclosure,M.2 SSD to 2.5 inch SATA Adapter with case 10 GB DDR2 Graphics Card","₹1,374"
