183,Divinext 12 Volt 20 Amp 240 Watt Power Supply Unit AC to DC Switch Mode Power Adaptor. 240 Watts PSU,"₹1,299"
184,HUBX NICKEL STRIP - 5 METER 0 Watts PSU,₹265
185,TRIDEV TRADERS T8000 Ac 220-240V Sd Card Pixel Controller for Ws2801 Ws2811 Lpd8806 Max 8192 Pixels Dc5V 240 Watts PSU,"₹3,399"
186,Bharti Flex Board HiLight Rainproof Power Supply 300 Watt 12 Volt For 190 LED Module Electrical Instruments Cabinet,"₹1,198"
187,"PS PLUS Amp DC Output Power Supply, Metal Case Type Power Supply 360 Watts PSU","₹1,499"
188,"sheetal traders  5 Volt 5A DC Power Supply, SMPS for LED Strip, CCTV, Cameras, Mobile, Tablets (Silver) 60 Watts PSU  (Silver) 60 Watts PSU",₹399
189,"sheetal traders 5 Volt 10A DC Power Supply, Tablets (Silver) 300 Watts PSU (Silver) 300 Watts PSU",₹599
190,"TRIDEV TRADERS 5 Volt 5A DC Power Supply, SMPS for LED Strip, CCTV, Cameras, Mobile, Tablets (Silver) 60 Watts PSU",₹399
191,DHRUV-PRO Led Indicator 5 Volt / 80 Amp DC Output Power Supply Metal Case Type LED Driver Power Supply Adaptor AC Input 100/240vAC 400 Watts PSU,"₹1,999"
192,Bright Electronic Components 5V5ASMPS 25 Watts PSU,₹399
193,Mean Well LRS-100-24 24 Watts PSU,"₹1,200"
194,Micrologics ML 222T 60 Watts PSU,"₹6,800"
195,BTronics 5V 5A Power Supply | 25W Power Supply 25 Watts PSU,₹399
196,HUBX COMBO POWERBANK MODULE AND BATTERY CASE 5 Watts PSU,₹199
197,AL QURAISH 5V 10A SLIM HEAVY METAL BOSY 50Watt SMPS POWER SUPPLY 50 Watts PSU,₹899
198,Riptu 5Amp pixel power supply 40 Watts PSU,₹359
199,DEVBHOOMI DB - COMPUTER 400W PSU/SMPS 400 Watts PSU,₹699
200,RNC ent 500W E-500E 500 Watts PSU,₹670
201,BALRAMA 12 Volt 3 Amp DC Adaptor SMPS Power Supply AC to DC Converter 12V 3A Charger 36 Watts PSU,₹499
202,Riptu T1000S DC3-24V Pixel led light controller with 256Mb Memory card 60 Watts PSU,"₹1,850"
203,SCHNIEDER ABL 2REM24065K 150 Watts PSU,"₹2,600"
204,DELTA PMT-12V50W2BA 50 Watts PSU,₹999
205,AL QURAISH 24V 5A 120Watt SMPS POWER SUPPLY 120 Watts PSU,₹898
206,"SKR Schneider ABL2REM24045K Single Phase Power Supply,(SMPS) 108 Watts PSU","₹5,359"
207,discounthub Corsair 600W 12+4 pin PCIe 5.0 12VHPWR Type-4 600W PSU Power Cable - CP-8920284 600 Watts PSU,"₹1,499"
