s.no,SSD,MRP
166,Seagate Firecuda 520 with PCIe Gen4 x4 NVMe 1.3 for Gaming PC Gaming Laptop Desktop 2 TB Laptop Internal Solid State Drive (SSD) (ZP2000GM3A002),"₹23,219"
167,"Consistent SSD 256 GB Laptop Internal Solid State Drive (SSD) (256 GB SSD FOR DESKTOP , LAPTOP ,)","₹1,250"
168,"HP S750 SATA 2.5"" SSD, 512 GB Laptop, Desktop Internal Solid State Drive (SSD) (S750 3D NAND 512GB)","₹3,850"
169,KINGSTON A400 240 GB Laptop Internal Solid State Drive (SSD) (A400),"₹2,600"
170,"KINGSTON A400 960 GB Laptop, Desktop Internal Solid State Drive (SSD) (SA400S37/960GIN)","₹4,549"
171,"HP S700 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (4YH59PA)","₹2,499"
172,"Lexar NM620 512 GB Laptop, Desktop Internal Solid State Drive (SSD) (LNM620X512G-RNNNG)","₹3,499"
173,"KINGSTON A400 240 GB Laptop, Desktop Internal Solid State Drive (SSD) (SA400S37/240G)","₹1,950"
174,ADATA XPG SX6000 LITE PCIe NVMe M.2 2280 128 GB Laptop Internal Solid State Drive (SSD) (ASX6000LNP-128GT-C),"₹3,298"
175,"GIGABYTE SATA SSD 480 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (GP-GSTFS31480GNTD)","₹2,299"
176,"ZEBRONICS H61 Motherboard + 4GB DDR3 1600MHz Desktop RAM + Sata 2.5"" 128 GB Desktop Internal Solid State Drive (SSD) (H61+4GBB DDR3+128 GB SSD)","₹5,199"
177,"ZEBRONICS SMART 120 GB Laptop, Desktop Internal Solid State Drive (SSD) (ZEB-SD12)",₹999
178,"SAMSUNG 860 EVO 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-N6E1T0BW)","₹11,908"
179,Silicon Power A55 128 GB Laptop Internal Solid State Drive (SSD) (SP128GBSS3A55S25),₹899
180,"Consistent SSD 2.5 SATA 256 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (CTSSD256S6)","₹1,250"
181,"EVM SATA 512 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (256GB 2.5"" SATA SSD)","₹2,250"
182,Acer RE100 2.5 128 GB Laptop Internal Solid State Drive (SSD) (RE100 2.5),"₹2,253"
